Questions,Answers
"no, he didn't have time to do that.","well, he's got plenty of time now!"
"well, he's got plenty of time now!","no, he's too busy writing a book about how hard it was to be president."
did you get your official sample ballot?,"yes, with the voter instructions."
"yes, with the voter instructions.",how are you going to vote?
how are you going to vote?,"same as ever, by mail. all it costs me is a 42-cent stamp."
"same as ever, by mail. all it costs me is a 42-cent stamp.","i meant, are you going to vote for or against the new taxes?"
"i meant, are you going to vote for or against the new taxes?","against all of them, of course."
"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
"but we need new taxes to pay for highways, schools, and prisons.",we've already voted for new taxes to pay for all that stuff!
we've already voted for new taxes to pay for all that stuff!,that's true. where did that money go?
that's true. where did that money go?,our legislators spent it on first-class travel all over the world.
our legislators spent it on first-class travel all over the world.,they are having a good time with our money.
they are having a good time with our money.,so when are we going to stop giving them more?
have you decided how you are going to vote?,"do you mean on measures 1, 2, and 3?"
"do you mean on measures 1, 2, and 3?","yes. the ones that will improve our schools, roads, and hospitals."
"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
you mean the measures that will raise our taxes.,but the tv ads say that our taxes will not increase.
but the tv ads say that our taxes will not increase.,do you believe the tv ads?
do you believe the tv ads?,i like the one where the fireman tells us why we should vote yes.
i like the one where the fireman tells us why we should vote yes.,"don't believe him! whatever the tv ads tell you, the opposite is true."
"don't believe him! whatever the tv ads tell you, the opposite is true.","but the title of measure 1 is ""better schools at no cost."""
"but the title of measure 1 is ""better schools at no cost.""","the title should be ""better schools at huge cost."""
"the title should be ""better schools at huge cost.""",i can't believe that they would lie to us.
i can't believe that they would lie to us.,of course they lie????€?that's what politicians do!
i have a stomachache.,is it something you ate?
is it something you ate?,maybe. i'm not sure.
maybe. i'm not sure.,what did you have for breakfast?
what did you have for breakfast?,"the usual, cereal with milk and a banana."
"the usual, cereal with milk and a banana.",maybe the milk was bad.
maybe the milk was bad.,it didn't smell bad.
it didn't smell bad.,maybe the banana was bad.
maybe the banana was bad.,"no, the banana was delicious."
"no, the banana was delicious.",maybe you just need to go to the bathroom.
maybe you just need to go to the bathroom.,"no, that's not the problem."
"no, that's not the problem.",maybe it will go away in a little while.
what's this stain?,i don't know.
i don't know.,it looks like blood.
it looks like blood.,i think my nose was bleeding.
i think my nose was bleeding.,you should wet your shirt immediately.
you should wet your shirt immediately.,why?
why?,because that gets the blood out of the shirt.
because that gets the blood out of the shirt.,what's a little blood?
what's a little blood?,your white shirt is ruined.
your white shirt is ruined.,"so, i'll just buy another one."
"so, i'll just buy another one.",you can wear this one around the house.
you can wear this one around the house.,next time i'll soak it immediately.
my fingers hurt.,why do they hurt?
why do they hurt?,i type too much.
i type too much.,you should take a break.
you should take a break.,i need to type to make money.
i need to type to make money.,but typing is causing you pain.
but typing is causing you pain.,maybe i should see a doctor.
maybe i should see a doctor.,doctors are too expensive.
doctors are too expensive.,he might tell me to rest for a while.
he might tell me to rest for a while.,he might want to cut you open.
he might want to cut you open.,he might say i'm okay.
he might say i'm okay.,he might say you have bone cancer.
what did the doctor say?,he thinks i have too much stress.
he thinks i have too much stress.,stress causes your stomachaches?
stress causes your stomachaches?,stress causes different problems with different people.
stress causes different problems with different people.,so what did he tell you to do?
so what did he tell you to do?,he said i need to think positive.
he said i need to think positive.,he didn't give you any medication?
he didn't give you any medication?,i hate medication. it makes me feel different.
i hate medication. it makes me feel different.,so how do you think positive?
so how do you think positive?,i think about nice things.
